Country,Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.12,22.02,2.35,-2.15,7.38,1.13,11.69,1.68,17.04,11.06,-3.21,8.28,2.05,-0.94,-1.67,-0.3,-0.2,-1.71,0.86,-5.38,-22.58,-7.58,0.11,
Africa,CAF,3,-5.54,-2.63,0.05,-1.11,-1.47,2.41,-0.85,4.67,0.09,-0.95,-1.94,-0.04,4.31,-1.53,3.88,2.74,0.15,-3.5,-5.52,-2.65,6.47,-9.21,8.15,2.64,2.27,-6.18,0.03,-0.59,-5.14,-3.62,-9.35,-2.81,1.68,4.32,-6.46,2.45,1.9,0.8,-5.13,2.17,1.38,-7.63,3.73,-1.35,2.65,2.61,-0.1,9.31,5.47,2.55,4.01,-36.82,0.5,4.2,2.88,2.79,1.98,1.72,-0.74,-0.71,0.73,-0.36,-1.86
Albania,ALB,,,,,,,,,,,,,,,,,,,,,3.65,0.8,-1.02,-3.31,-0.29,3.61,-2.75,-3.26,6.92,-11.19,-27.57,-6.62,10.23,8.97,14.02,8.01,-11.16,8.99,12.96,8.15,9.89,4.94,5.73,5.71,5.67,6.69,7.31,7.73,3.39,3.49,2.74,1.15,1.89,2.45,2.53,4.08,3.38,3.93,2.5,-2.76,9.98,6.11,5.14,5.16
Algeria,DZA,-15.12,-20.85,32.28,4.12,4.61,-6.5,7.02,8.3,5.99,6.43,-13.31,24.53,1.39,4.92,1.39,3.56,1.5,6.15,4.32,-2.3,-0.29,2.91,1.88,2.06,0.23,-2.85,-3.66,-3.73,1.68,-1.67,-3.53,-0.65,-4.43,-3.07,1.67,2.08,-0.77,3.44,1.78,2.36,1.6,4.01,5.09,3.05,3.87,1.33,1.39,0.65,-0.72,2.78,1,0.38,0.55,2,1.1,1.79,-0.54,-0.55,-0.94,-6.61,2.13,1.97,2.55,1.87
Andorra,AND,,,,,,,,,,,-2.5,1.01,0.91,-0.88,-5.41,-2.53,-2.65,-3.61,-4.54,-2.01,-3.86,-2.92,-2.75,-2.33,-1.3,-1.06,1.3,1.34,2.33,-0.12,-4.82,-4.99,-5.84,0.26,3.88,4.53,7.86,2.12,3.58,3.57,7.85,3.52,4.03,1.1,1.18,1.96,-1.29,-7.39,-5.75,1.89,3.75,-3.8,-1.44,4.53,3.63,3.7,-1.81,-0.3,0.27,-12.22,6.93,7.72,1.12,2.01
Angola,AGO,,,,,,,,,,,,,,,,,,,,,-7.82,-3.61,0.4,2.14,-0.24,-0.76,0.53,2.58,-3.32,-6.67,-2.34,-8.87,-26.37,-1.89,11.22,9.77,3.69,1.25,-1.13,-0.3,0.77,9.86,-0.55,7.03,10.91,7.51,9.82,7.05,-2.9,0.45,-0.47,4.41,0.99,0.98,-2.63,-6,-3.62,-4.67,-4.01,-8.67,-1.97,-0.14,-1.99,1.29
Antigua,ATG,,,,,,,,,,,,,,,,,,4.1,7.68,7.76,3.57,-0.27,5.12,10.25,8.13,12.04,7.18,5.75,5.75,3.43,1.66,-0.44,3.38,4.67,-6.25,4.43,3.33,2.77,1.94,4.44,-6,-0.24,4.92,4.65,5.28,11.32,7.84,-1.47,-13.28,-9.08,-3.11,2.27,-1.51,1.39,0.69,3.47,2.15,6.17,2.68,-19.29,7.58,8.53,1.9,3.82
Argentina,ARG,3.7,-2.48,-6.85,8.37,8.85,-2.17,1.63,3.23,8.01,1.45,4.01,0.03,1.16,3.81,-1.62,-3.54,5.25,-6.02,8.48,-0.09,-6.7,-2.32,2.69,-0.03,-6.67,4.52,1.13,-2.61,-8.57,-3.91,7.58,6.45,6.75,4.43,-4.11,4.21,6.81,2.64,-4.49,-1.91,-5.45,-11.84,7.72,7.93,7.74,6.94,7.93,3.01,-6.91,8.97,4.88,-2.04,1.39,-3.51,1.66,-3.02,1.92,-3.42,-2.7,-10.34,10.15,5.05,-1.89,-2.06
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.21,-41.11,-5.67,8.18,8.74,6.8,4.35,8.57,4.64,4.13,9.92,13.62,14.62,11.11,14.57,13.9,14.42,7.6,-13.51,2.91,5.28,7.33,3.37,3.88,3.52,0.61,7.97,5.57,7.84,-7.17,5.77,12.34,8.48,3.48
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,17.59,18.3,10.07,0.13,2.81,1.11,0.49,2.75,-0.29,-2.73,2.98,-0.49,-0.13,6.52,3.21,-1.63,-0.03,5.03,-2.93,-0.67,2.32,1.06,-12.27,-2.96,2.61,-2.48,4.86,-2.63,-1.64,0.95,7.04,2.23,-2.5,-25.79,25.15,8.91,4.22,
Australia,AUS,0.46,-1.15,4.2,4.9,3.92,0.07,4.97,3.26,4.83,5.08,0.54,2.02,1.06,1.51,0.1,1.56,2.43,-0.27,2.93,1.79,1.74,1.55,-3.55,3.35,3.89,2.47,1.01,4.04,2.13,2.06,-1.64,-0.69,3.13,2.98,2.74,2.61,2.79,3.63,3.88,2.74,0.72,2.8,1.91,3.12,1.91,1.38,1.9,1.53,-0.19,0.64,0.99,2.12,0.85,1.08,0.73,1.17,0.61,1.35,0.67,-1.34,1.97,2.92,0.96,-0.63
Austria,AUT,4.96,2.02,3.47,5.42,2.81,4.9,2.24,3.93,5.91,6.75,4.65,5.59,4.31,3.77,-0.1,4.76,5.04,-0.13,5.54,1.73,-0.4,1.94,3.14,0.06,2.45,2.24,1.29,3.15,3.42,3.55,2.41,0.98,-0.3,2.01,2.51,2.08,2.03,3.38,3.56,2.94,0.93,0.99,0.65,1.93,1.63,2.76,3.44,1.14,-3.84,1.56,2.58,0.17,-0.84,-0.03,0.17,1.02,1.56,1.99,1.3,-6.71,4.34,4.28,-1.93,-1.68
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.01,-23.76,-24.26,-20.78,-12.81,0.28,4.78,8.96,6.46,10.19,9.05,8.63,9.38,8.3,26.66,33,24.05,8.29,7.12,3.55,-2.85,0.85,4.48,1.52,-0.15,-4.14,-0.82,0.62,1.62,-4.85,5.15,4.67,1.23,3.57
Bahamas,BHS,5.34,5.04,5.13,5.47,5.63,4.2,4.6,3.44,4.15,-9.22,-1.5,-6.06,5.03,-18.6,-16.65,2.92,6.84,11.83,23.67,4.53,-10.79,4.93,1.87,12.26,3.05,0.06,1.25,0.58,4.87,-3.3,-5.82,-5.57,-1.56,1.35,2.66,2.59,-0.22,3.23,5.72,2.79,1.37,1.53,-2.44,-0.35,2.16,1.2,0.02,-3.63,-5.41,0.25,-0.54,3.48,-3.76,0.96,0.2,-1.85,2.73,1.82,-1.33,-20.33,17.44,10.55,2.56,2.9
Bahrain,BHR,,,,,,,,,,,-1,5.85,8.03,2.94,-13.41,24.07,7.61,-0.96,-1.17,-1.85,-9,-10.77,2.73,1.35,-8.12,-2.43,6.45,3.19,-3.15,0.89,13.83,3.92,9.94,-2.84,1.23,1.4,0.41,2.07,1.59,2.56,-1.19,-3.81,-1.21,-0.71,-1.05,-1.47,0.08,0.06,-3.98,0.08,4.79,2.61,1.58,-0.56,-1.66,-0.08,-0.46,1.92,3.38,-5.17,2.12,4.76,0.43,2.26
Bangladesh,BGD,3.11,2.43,-3.32,7.76,-1.32,-0.37,-4.72,6.31,-1.62,2.92,-7.12,-15.61,0.41,6.53,-6.57,3.01,0.15,4.49,2.31,-1.56,4.52,-0.63,1.13,2.15,0.83,1.76,1.47,0.26,0.75,3.54,1.53,3.47,2.78,1.98,3.19,2.63,2.57,3.21,2.7,3.39,3.34,2.24,3.23,3.82,5.2,5.44,5.91,4.96,4.07,4.65,5.5,5.51,5.02,5.1,5.6,6.16,5.69,6.44,6.97,2.59,6.07,6.01,4.49,2.96
Barbados,BRB,6.65,8.1,-6.01,3.95,10.3,2.91,9.7,6.3,7.13,9.53,4,1.08,1.07,-4.82,-2.06,4.25,3.57,4.91,8.01,4.27,-2.19,-5.21,0.15,3.22,0.74,4.78,2.33,3.31,3.46,-3.48,-4.19,-6.02,0.5,1.78,1.85,3.88,4.7,3.71,0.3,4.63,-2.5,0.13,1.55,0.83,3.41,5.56,1.6,0.11,-5.51,-2.62,-1.05,-0.6,-1.27,-0.16,-1.07,1.57,-0.08,-1.36,0.48,-15.2,-0.41,17.76,4.09,3.75
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.25,-9.8,-7.8,-11.6,-10.11,3.15,11.86,8.89,3.87,6.3,5.26,5.72,7.79,12.21,10.15,10.68,9.1,10.58,0.45,7.99,5.8,1.87,1.04,1.59,-3.96,-2.61,2.64,3.37,1.65,-0.25,3.29,-3.89,4.69,4.52
Belgium,BEL,4.63,4.79,3.57,5.95,2.62,2.46,3.29,3.79,6.33,6.25,3.8,4.88,6.05,4.24,-2.25,5.46,0.5,2.75,2.25,4.33,-0.28,0.62,0.32,2.47,1.62,1.79,2.22,4.39,3.09,2.83,1.46,1.12,-1.35,2.91,2.17,1.12,3.54,1.74,3.31,3.47,0.75,1.25,0.62,3.12,1.76,1.88,2.92,-0.34,-2.69,1.78,0.61,-0.4,-0.17,1.31,0.89,0.68,1.08,1.42,1.89,-5.2,5.77,3.42,0.28,0.26
Belize,BLZ,2.3,2.26,2.13,2,1.85,1.63,1.74,4.15,2.14,2.47,2.21,8.56,3.88,12.02,1.84,-2.07,4.31,5.72,5.27,9.49,-1.4,-2.57,-4.49,-0.41,-1.31,2.2,8.28,7.38,10.53,9.03,9.41,10.4,4,-2.13,-1.76,-1.86,0.81,0.33,5.72,8.63,1.79,2.26,6.44,1.73,-0.72,1.55,0.48,-4.35,-3.02,-1.3,-2.39,1.53,2.25,1.86,0.74,-2.24,-4.05,-0.76,2.75,-15,16.4,7.64,-0.91,6.6
Benin,BEN,1.45,-5.11,2.83,4.64,3.23,1.5,-0.99,1.67,0.68,-0.13,-3.69,4.01,1.31,0.91,-7.18,-1.59,2.35,-1.33,3.74,3.88,6.88,-0.67,-7.08,4.82,4.4,-0.83,-4.42,0.31,-5.78,5.68,1.06,-0.17,1.24,-1.72,3.83,1.63,2.66,0.8,2.13,2.65,2.16,1.51,0.34,1.28,-1.51,0.75,2.9,1.78,-0.7,-0.89,-0.06,1.75,4.08,3.26,-1.18,0.36,2.67,3.74,3.98,1.12,4.41,3.58,3.7,4.84
Bermuda,BMU,2.46,1.83,-1.38,8.55,2.44,11.84,11.03,0.3,1.62,4.64,2.49,1.43,1.21,0.67,3.63,8.77,5.68,1.25,1.98,7.63,1.77,-5.96,1.28,-0.23,-2.67,6.01,3.06,3.26,-0.31,-0.73,-4.24,-0.78,2.29,-0.04,3.82,2.11,3.97,3.11,2.56,8.56,6.67,-1.91,3.01,2.04,1.42,5.34,3.06,-2.32,-6.02,-2.75,-3.75,-5.18,-0.17,-3.63,0.88,-0.63,3.4,-0.83,-0.12,-7.23,4.18,6.31,5,2.2
Bhutan,BTN,,,,,,,,,,,-0.76,-2.22,-1.93,1.64,-6.55,5.3,4.28,3.53,1.3,1.57,11.41,0.16,6.97,1.31,0.83,8.01,25.18,1.68,4.25,7.44,-2.15,8.59,6.23,4.98,8.35,5.41,3.5,3.92,5.55,0.88,4.88,8.04,5.55,3.08,5.11,4.23,14.76,3.36,6.48,10.71,7.3,4.01,0.61,4.75,5.58,7.42,1.21,2.76,5.05,-10.82,3.69,4.48,4.15,
Bolivia,BOL,0.02,3.42,4.59,1.78,2.7,4.88,4.01,6.15,2.16,2.9,2.73,5.57,3.39,0.64,4.91,2.25,2.58,-0.26,-2.12,-3.56,-1.92,-6.01,-6.09,-2.31,-3.73,-4.6,0.32,0.75,1.62,2.46,3.1,-0.41,2.22,2.66,2.72,2.45,3.08,3.19,-1.31,0.76,-0.02,0.79,1.01,2.44,2.68,3.03,2.79,4.37,1.65,2.43,3.51,3.45,5.13,3.84,3.28,2.72,2.68,2.74,0.79,-9.86,5.04,2.41,1.68,0
Bosnia,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.55,-1.49,6.09,16.47,16.28,47.85,31.78,14.59,8.44,4.67,1.94,4.81,4.1,7.29,5.03,6.28,7.17,7.2,-1.31,2.67,2.84,1.12,4.03,2.46,5.69,4.6,4.58,5.11,4.16,-1.66,9.19,5.53,2.63,3.15
Botswana,BWA,3.97,4.25,3.47,4.32,4.27,5.75,5.37,9.99,14.52,16.47,23.69,21.91,15.73,3.55,3.19,5.09,6.26,7.65,5.62,7.72,5.41,7.8,9.16,4.79,3.47,4.57,8.29,15.94,9.96,3.88,4.57,0.06,-0.96,0.8,4.26,3.27,5.86,-1.76,7.32,-0.16,-1.79,4.09,2.8,0.92,2.7,6.36,3.76,1.2,-15.9,7.82,4.76,-1.83,9.44,4.17,-6.2,5.69,2.65,2.72,1.58,-10.03,10.26,3.82,1.53,-4.56
Brazil,BRA,5.37,3.47,-2.32,0.45,-0.45,3.82,1.48,7.02,6.79,7.7,8.65,9.25,11.24,5.59,2.69,7.66,2.46,2.49,4.25,6.65,-6.45,-1.44,-5.07,3.12,5.58,5.3,1.5,-1.95,1.28,-6.04,-0.69,-2.19,3.24,4.21,2.63,0.67,1.87,-1.14,-0.98,2.96,0.08,1.78,-0.05,4.57,2.08,2.87,5,4.09,-1.02,6.63,3.13,1.1,2.17,-0.3,-4.31,-4.01,0.59,1.09,0.56,-3.84,4.32,2.65,2.83,2.98
Brunei,BRN,,,,,,,,,,,,,,,-4.05,16.78,6.25,3.59,20.52,-12.47,-24.76,-0.89,-2.83,-5.57,-6.13,-8.57,-1.13,-4.42,-5.53,-0.26,0.05,-5.72,-3.19,-1.54,-1.13,-2.4,3.88,-8.76,1.97,1.25,-0.64,1.9,1.63,-1.68,-1.68,2.46,-5.38,-5.66,-3.72,0.81,1.91,-0.62,-3.47,-3.81,-1.68,-3.7,0.11,-1.1,2.73,0.07,-2.53,-2.42,0.34,3.35
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,4.55,2.03,3.17,3.15,2.68,4.24,5.9,10.82,-2.15,-7.46,-7.53,-6.27,-0.69,2.16,3.32,5.75,-13.59,4.48,-7.88,5.11,5.91,8.2,6.07,7.32,7.87,7.62,7.44,6.88,-2.72,2.23,2.75,1.33,1.48,2.18,4.72,4.37,4.12,3.97,5.26,-2.24,8.5,4.72,2.18,2.85
Burundi,BDI,-15.9,6.33,1.96,3.29,1.13,2.12,10.97,-2.65,-3.58,18.72,0.28,-6.4,7.04,-3.18,-1.77,5.55,8.64,-3.76,-0.83,-3.16,7.68,-3.49,0.97,-2.24,9.39,1.33,3.12,2.73,-0.62,1.36,2.85,-1.65,-3.24,-4.45,-13.27,-8.06,-1.58,2.77,-3.35,-2.9,-0.47,1.54,-4.3,1,-2.78,1.68,-0.3,0.62,-1.32,0.32,0.38,0.79,1.22,0.76,-6.06,-2.3,-1.83,-1.41,-1.48,-2.55,0.33,-0.87,-0.1,0.85
Cabo,CPV,,,,,,,,,,,,,,,,,,,,,6.95,1.32,7.92,2.31,7.12,1.43,2.85,4.53,4.12,-1.35,-1.01,8.45,6.4,16.78,12.06,9.39,9.27,10.73,9.55,12.57,0.68,3.73,2.78,8.82,5.65,6.75,13.9,5.94,-2.43,1.11,3.59,0.98,0.58,0.68,0.92,4.25,4.48,3.6,6.8,-20.89,6.63,15.15,4.87,6.75
Caledonia,NCL,,,,,,-6.52,2.44,11.05,11.96,25.62,2.16,-1.27,-15.2,7.67,1.84,-1.03,0.13,8.46,-14.61,-1.52,-8,1.36,-3.27,0.13,2.77,-2.62,3.94,32.32,8.72,1,2.13,-2.09,-1.99,0.1,3.42,-1.83,-0.2,-5.23,-1.17,0.01,,,,,,,,,,,,,,,,,,4,-1.42,-2.6,-2.46,2.81,,
